Outage_sec_perweek,Children,Age,Income,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Techie,Contract,InternetService,StreamingMovies,StreamingTV,Bandwidth_GB_Year
6.972566093,1.0,68.0,28561.99,10,0,1,6.795512947,171.4497621,No,One year,Fiber Optic,Yes,No,904.5361102
12.01454108,1.0,27.0,21704.77,12,0,1,1.156680997,242.9480155,Yes,Month-to-month,Fiber Optic,Yes,Yes,800.9827661
10.24561565,4.0,50.0,33186.785,9,0,1,15.75414408,159.4403984,Yes,Two Year,DSL,Yes,No,2054.706961
15.20619309,1.0,48.0,18925.23,15,2,0,17.08722662,120.2494934,Yes,Two Year,DSL,No,Yes,2164.579412
8.960316419,0.0,83.0,40074.19,16,2,1,1.670971726,150.7612159,No,Month-to-month,Fiber Optic,No,Yes,271.4934362
7.814858954,3.0,83.0,33186.785,15,3,1,7.000993555,184.4015581,No,One year,No service,Yes,No,1039.357983
11.12909443,0.0,53.0,11467.5,10,0,1,13.23677381,200.0648859,Yes,Month-to-month,DSL,Yes,Yes,1907.242972
7.594838367,2.0,53.0,26759.64,16,0,0,36.19603,114.7541111,Yes,Month-to-month,DSL,No,No,979.6127078
6.637258801,2.0,49.0,58634.51,20,2,3,8.220686373,118.3668439,No,Month-to-month,DSL,No,No,1312.874964
9.230409493,1.0,86.0,50231.4,18,1,0,3.422086139,163.0052796,No,Two Year,Fiber Optic,Yes,No,508.7637913
11.83511269,7.0,23.0,33186.785,9,0,2,19.26726194,177.451599,No,Month-to-month,DSL,No,Yes,2728.767869
5.08282075,2.0,56.0,18342.12,17,1,1,36.19603,148.3640874,No,Month-to-month,Fiber Optic,No,Yes,1180.588788
7.265960814,0.0,83.0,83671.08,9,0,0,13.01149229,136.4312394,No,Month-to-month,Fiber Optic,No,Yes,1196.388018
6.568343834,5.0,53.0,115114.57,14,1,0,16.87922024,185.6592942,No,Two Year,Fiber Optic,No,Yes,1948.694497
12.63069124,1.0,30.0,64256.81,10,3,0,10.06019902,160.8055418,No,Month-to-month,DSL,No,No,3382.424
9.48221912,1.0,39.0,89061.45,13,1,0,13.87001293,176.3345094,No,One year,No service,Yes,Yes,1840.014467
14.42916512,1.0,63.0,31659.3,13,1,0,15.78214958,195.8726039,No,Month-to-month,DSL,Yes,No,2070.376729
10.21790303,1.0,60.0,44142.81,16,3,0,36.19603,203.0695973,No,Two Year,No service,Yes,Yes,882.0985933
11.10106846,3.0,61.0,39262.14,11,1,0,17.10995632,154.0171018,Yes,Two Year,No service,No,Yes,1833.0967
11.08853215,3.0,23.0,19494.75,10,1,0,12.80615845,150.1107392,No,Month-to-month,DSL,No,Yes,1954.080809
12.18669792,4.0,53.0,39624.21,14,0,3,20.45390977,185.096264,No,Month-to-month,Fiber Optic,Yes,No,2330.319383
6.520830558,3.0,30.0,33186.785,18,1,0,2.415991977,127.0317766,No,Two Year,Fiber Optic,No,No,594.1054279
9.970974396,1.0,52.0,27442.03,16,1,1,6.652298992,125.5623018,No,Month-to-month,Fiber Optic,No,No,713.0633088
7.490198816,2.0,68.0,79699.62,9,0,0,8.543717478,150.3295122,No,One year,Fiber Optic,No,Yes,945.3802928
14.54825704,3.0,75.0,28520.32,15,1,0,5.770390256,163.3124055,No,Month-to-month,No service,Yes,No,870.76398
11.37952059,1.0,77.0,12558.83,12,1,0,4.157658837,94.06699355,No,Month-to-month,DSL,No,No,774.2937069
16.1723942,1.0,47.0,8762.23,15,0,1,10.40566091,222.9597637,No,Month-to-month,Fiber Optic,Yes,Yes,1506.446527
15.8467065,1.0,70.0,43882.72,12,0,0,1.392421597,141.092117,No,Month-to-month,No service,No,Yes,419.0508708
43.92705189,3.0,53.0,33186.785,13,2,0,36.19603,230.6237646,Yes,One year,DSL,Yes,Yes,1259.415493
12.35437248,4.0,69.0,33186.785,18,1,0,5.425864884,259.3879183,No,Two Year,DSL,Yes,Yes,1745.125956
7.472844182,9.0,45.0,43383.54,14,0,0,11.08287797,230.9648914,No,Two Year,Fiber Optic,Yes,Yes,1795.465729
4.776157747,1.0,40.0,21793.88,13,2,0,36.19603,147.8152871,No,Two Year,No service,No,No,492.4771472
8.913416857,6.0,82.0,51960.51,9,0,0,4.727388465,230.2438882,No,Month-to-month,Fiber Optic,Yes,Yes,1013.993166
11.99819427,5.0,53.0,33186.785,8,1,1,20.89923386,175.8247451,No,Month-to-month,DSL,No,Yes,3382.424
5.312361826,1.0,53.0,11211.59,15,1,0,3.471329958,267.4362279,No,One year,Fiber Optic,Yes,Yes,1081.814362
13.92937482,1.0,52.0,8283.29,11,0,1,5.478588204,162.6090148,No,Month-to-month,DSL,No,No,1209.961168
44.72520233,2.0,26.0,10114.81,16,1,1,3.312991809,258.4081654,No,Month-to-month,Fiber Optic,Yes,No,897.5919144
8.15350077,1.0,25.0,33186.785,9,2,0,7.161561527,138.7077155,No,One year,DSL,No,No,1340.930156
17.68357553,1.0,66.0,25397.44,12,1,0,9.847563364,185.8072481,No,Two Year,Fiber Optic,Yes,No,1113.993679
7.790281114,1.0,72.0,50336.5,10,1,1,16.04202196,147.2911879,No,Two Year,Fiber Optic,No,No,1530.10769
38.90533531,3.0,53.0,38211.37,12,1,0,9.179779682,199.9341262,No,Month-to-month,Fiber Optic,No,Yes,3382.424
6.522328696,3.0,53.0,52887.26,16,2,0,36.19603,105.9429467,No,Month-to-month,DSL,No,No,892.8964931
11.1979215,4.0,41.0,12003.33,11,1,2,3.924254455,253.7918326,No,Two Year,Fiber Optic,Yes,Yes,1125.581944
8.561096928,4.0,53.0,24090.62,13,0,0,18.55959629,192.7622768,No,Two Year,Fiber Optic,Yes,No,2016.710031
13.89466275,0.0,53.0,33186.785,6,0,0,8.798394712,243.3707028,No,Two Year,Fiber Optic,Yes,Yes,1412.736809
10.87564115,2.0,44.0,33186.785,5,1,0,10.377366,245.4671211,No,Month-to-month,No service,Yes,Yes,3382.424
12.60910718,1.0,23.0,132116.33,11,1,0,22.25746016,185.0719404,No,Month-to-month,Fiber Optic,Yes,No,2384.885909
9.315148629,1.0,43.0,37358.13,11,1,0,9.427146079,194.5713157,No,Month-to-month,Fiber Optic,No,No,1213.940165
8.561161123,1.0,86.0,26534.16,11,2,2,7.760290062,105.6553743,No,Two Year,No service,No,Yes,740.010722
12.37711977,2.0,84.0,33186.785,14,0,1,11.56938439,92.42950948,No,Month-to-month,No service,No,No,897.9716153
9.523347957,2.0,53.0,33186.785,13,3,0,3.343811019,185.545865,No,Month-to-month,DSL,Yes,No,1026.387172
8.546827521,5.0,68.0,43820.85,12,1,0,7.338869531,188.1878188,No,Month-to-month,No service,Yes,Yes,1234.244324
2.663660525,1.0,59.0,38391.55,8,0,0,5.486534225,148.4154058,No,Month-to-month,Fiber Optic,No,Yes,727.3731845
8.505759564,0.0,31.0,44137.6,6,0,0,1.55278221,167.3108222,Yes,One year,Fiber Optic,No,Yes,452.8721504
7.93962081,0.0,51.0,33186.785,11,2,0,12.07970325,158.9035122,No,Month-to-month,Fiber Optic,No,No,1296.674543
12.13605498,1.0,58.0,62359.91,11,1,1,13.98666226,131.1822001,No,One year,DSL,No,Yes,1840.628269
9.531952076,1.0,73.0,82634.86,11,0,1,9.563362997,116.095233,No,Month-to-month,DSL,No,No,1324.330108
11.31019855,1.0,33.0,15690.25,11,0,1,6.732948946,142.3770231,No,Two Year,No service,Yes,No,958.1397059
11.23344836,1.0,53.0,14568.7,15,2,0,15.72071086,221.1610613,No,Two Year,No service,Yes,Yes,3382.424
9.276154842,0.0,49.0,33186.785,9,1,0,7.233605493,125.8287767,No,Two Year,Fiber Optic,No,No,676.712908
7.273891516,1.0,26.0,55319.23,12,1,0,2.871017037,163.8522919,No,One year,DSL,Yes,No,1086.990308
39.88390274,1.0,25.0,81831.49,10,3,0,2.344875382,225.2947474,No,Month-to-month,Fiber Optic,No,Yes,704.7540406
8.599583947,0.0,42.0,100076.65,14,3,0,7.960490246,150.2616031,No,Month-to-month,DSL,Yes,No,1416.444695
5.487498047,1.0,81.0,69965.65,15,0,0,12.25062113,91.90732298,No,Month-to-month,No service,No,No,1095.950634
14.22358433,1.0,43.0,34883.69,13,0,0,36.19603,128.1616569,Yes,Month-to-month,No service,Yes,No,1083.610268
9.701727666,2.0,53.0,33186.785,14,1,0,7.916533093,185.1946788,No,Two Year,DSL,No,Yes,1570.641337
7.029314673,3.0,70.0,10964.73,11,0,1,4.471254161,265.9812978,No,Month-to-month,Fiber Optic,Yes,Yes,1007.425553
